,topic_0_word,topic_0_score,topic_1_word,topic_1_score,topic_2_word,topic_2_score,topic_3_word,topic_3_score,topic_4_word,topic_4_score,topic_5_word,topic_5_score,topic_6_word,topic_6_score,topic_7_word,topic_7_score,topic_8_word,topic_8_score,topic_9_word,topic_9_score,topic_10_word,topic_10_score,topic_11_word,topic_11_score,topic_12_word,topic_12_score,topic_13_word,topic_13_score,topic_14_word,topic_14_score,topic_15_word,topic_15_score,topic_16_word,topic_16_score,topic_17_word,topic_17_score,topic_18_word,topic_18_score,topic_19_word,topic_19_score,topic_20_word,topic_20_score,topic_21_word,topic_21_score,topic_22_word,topic_22_score,topic_23_word,topic_23_score,topic_24_word,topic_24_score
59,sachsen,0.003972415770154954,brutto,0.004714032076215929,dürfen,0.005958950295504292,gemeldet,0.01017669008586405,können,0.006239913220085785,neuinfektione,0.006957396453319083,erkrankung,0.005659620241088871,vertrauen,0.006104032708030671,risiko,0.0068123233424101995,umfragewert,0.012225949683422983,mittel,0.007159970674124588,urteil,0.006302585086121884,ranian,0.005788125154278698,nachteil,0.013418610564701308,sanktion,0.00724803617253273,teil,0.006671799926506509,negativ,0.005982260671802594,mns,0.008862221133957142,gaza,0.00968962327098336,katapult,0.015616996389547146,august,0.007575655664452631,je,0.014208382615212947,führen,0.00860215431865012,modern,0.0077608132941562455,krank,0.009318683682376495
60,söder,0.003939258918773818,erdgas,0.004705821118247146,support,0.005901531987704608,vaccin,0.010171380652245852,hoch,0.006200504479751444,zeigen,0.006953395596497874,risk,0.005606079967912384,problem,0.006101055655781935,kita,0.006707737253164738,sonstige,0.01206043443697423,ab,0.007153485977834455,betreffend,0.0062961207413023065,nation,0.005778490127265113,sprache,0.013387424409956052,union,0.007216974748304093,klein,0.006606866415065501,südafrika,0.005967626430239619,op,0.008827693207707188,may,0.009478811022786148,wirecard,0.015593601516526133,saskia,0.007492486039841072,antwort,0.011332828465007846,verbieten,0.008560639875913257,sicher,0.007693943422265788,falsch,0.009244970920274759
61,wählen,0.003939251370771158,wasserstoff,0.0046908745207384596,bundestag,0.005819562802009827,linear,0.009739131006629135,ab,0.006077320107708522,positiv,0.006778688780370886,vollständig,0.005586548403652578,teil,0.006019318830920957,empfinden,0.00668320994359231,stand,0.011971919836314088,hanfverband,0.007025329690491181,verfolgung,0.006238664157144928,kosovo,0.005701843510378114,fördern,0.013229892346960637,sprechen,0.00711578851804979,baerbock,0.006570489855641628,impfen,0.00585147064481516,arbeitsplatzgrenzwert,0.008793590508567144,ermordet,0.009317297430803962,maskenkauf,0.015561361093256034,olafscholz,0.007422915073332689,germany,0.010835463350510215,gedeihen,0.008558138649845105,sollen,0.007661093853335506,viele,0.009239883602774333
62,lindner,0.003923486988135499,union,0.004616188884705545,märz,0.005790325373292117,fully,0.009733100283725572,schwerwiegend,0.006054129077220451,kind,0.006642405510554229,zahl,0.005544254053096723,woche,0.005985559897960488,jahr,0.0066489666509891784,bestehen,0.011951706182111395,medizinisch,0.006999659284697467,stellen,0.0061827918923041585,intervention,0.00569837991826539,rechtfertigen,0.013188307994777368,bundestagswahl,0.007083853342553281,einzig,0.006541283843553803,research,0.005850283470234347,bayerisch,0.008707626608229175,verfolgt,0.009317297430803962,kungelei,0.015561361093256034,alexander,0.007375887518387864,montenegro,0.010387434689907799,verhandlung,0.008334426560314441,kommunikation,0.007625936299509901,hoch,0.00915110515919895
63,mm,0.0039047973158753027,müssen,0.0045912894782507,text,0.005751530632622725,neu,0.009718642770137242,kommen,0.0059530680011987535,person,0.006552683628691437,first,0.005540791662185332,staat,0.005983251233001053,schnelltest,0.006629798615346074,zeitraum,0.011924619302841567,sowie,0.006960413866173749,weit,0.00614643699219954,bundestag,0.00561302519958458,bundesagentur,0.0131735295562194,asylverfahren,0.007071136649284132,emmanuel,0.006536404666255993,tägliche,0.005817306011129899,apotheke,0.008669913639351509,app,0.009281804944764558,privatkredit,0.015561361093256034,zerbrech,0.00733628221330877,zutun,0.00978965612453596,land,0.008187769094626004,fussball,0.007624247685163058,zusätzlich,0.009112880570679792
64,westfalen,0.0038927939120597596,km,0.004551934219005186,cdu,0.0057132050582263325,week,0.009632151736539103,ehrlich,0.005936243609083735,weltweit,0.006483004558302018,alter,0.005358768788987915,sein,0.005850887396728359,jüngere,0.006582198040084218,gleichzeitig,0.011520316476847307,social,0.006929513640826069,freizügigkeit,0.006061814736004333,politisch,0.005568681184594167,davor,0.013159731206910988,seit,0.007041692069598928,lesen,0.006457747670324517,erreger,0.005810349498894281,pro,0.00859574147777702,wahlkampf,0.009173235864890288,irmer,0.015449484903167738,sozialdemokrat,0.0073020805040820355,news,0.009682203903341641,schlucken,0.007900171247798538,ökologisch,0.007563478245323192,zeit,0.009094442220166678
65,märz,0.0038501654764409037,unternehmen,0.004541360528666688,bild,0.005564191560325653,eee,0.009620925853020683,allgemein,0.005902200865803098,deutlich,0.00640627514072401,et,0.005340449150283733,führen,0.005837194637903782,möglich,0.00658007441207495,insa,0.011408519062002648,deutschland,0.006911875081920399,schutz,0.0060538244591089585,libya,0.005530814684333889,arbeitslos,0.013135079913919705,stimme,0.00702493287589666,ausländisch,0.006456288526669021,symptom,0.005735022156741127,ce,0.008436789220700704,korruption,0.00913293089553069,erlangen,0.015331393332490824,eee,0.007295629309651158,ahigher,0.00945350266264782,kröte,0.007785119550937575,krise,0.007464345045226719,offiziell,0.009091503860879403
66,pandemie,0.003835203128359439,emissions,0.004538975434141269,fraktion,0.005558116658849066,administered,0.00958742505501281,zeigen,0.005852350126023222,pro,0.006395935781404775,woche,0.005297564219910446,koalition,0.00582459856308761,wechselunterricht,0.0064669290657229685,kommen,0.011026454114536071,schwarzmarkt,0.006907585409783775,beschluss,0.0060391353725507205,kurde,0.005530814684333889,arbeits,0.012988222215705118,lukaschenko,0.006981066494383242,opfer,0.006414538985425524,sagen,0.005722427638983084,bedeckung,0.008287523289828794,spiegel,0.008972495998601856,mandat,0.015302930036886224,google,0.007268553079585274,alower,0.00945350266264782,regelsatz,0.007543492091361814,unterstützen,0.007458021458171127,allein,0.009048168290172144
67,te,0.0037981694637765667,ausgewählt,0.004524457706229171,sarah,0.005530848143760049,health,0.009427076475529558,institut,0.005837338101383966,welle,0.006392623412267614,deutschland,0.005261961269237723,bundesregierung,0.005680885865534676,eingeschränkt,0.0063994242149713575,drei,0.010775072271854513,cannabiskontrollgesetz,0.006907585409783775,fiu,0.00599529453854868,linke,0.005518043992030093,erwähnen,0.012925186208282051,dauerhaft,0.006911410809588116,recht,0.006388603910269555,geben,0.005678362737773227,uhr,0.008245884433792747,ausgegrenzt,0.008929162278394319,lorenz,0.015240903644255318,auseinanderbrechen,0.007257194862001957,eb,0.008341238097653806,sagen,0.007507791220600389,mobilität,0.007407488186350889,standesvertreter,0.009043166135801063
68,lk,0.003776052999269461,windenergie,0.0045085635864328235,meldung,0.005455303486561237,jahr,0.009214592820393618,tag,0.00581006919986281,sagen,0.006362131598602245,arzt,0.005201812456724755,kampagne,0.005652998289174296,drohung,0.006350522254993082,aktuell,0.010720869323524385,wichtig,0.006903772116336056,gut,0.005980883944757771,north,0.0054815873458647305,situation,0.012785411307018537,bund,0.006909358600178731,demonstration,0.006242771217641447,gefährlicher,0.005628374820759822,abschließend,0.008223788050940574,stigmatisiert,0.008929162278394319,aufsichtsratspost,0.015228932035884837,frage,0.007196736924154086,ringlicht,0.008077716475668371,halten,0.0074216727687398875,unterhaltung,0.00740324386820767,sagen,0.008823455195222162
