,topic_0_word,topic_0_score,topic_1_word,topic_1_score,topic_2_word,topic_2_score,topic_3_word,topic_3_score,topic_4_word,topic_4_score,topic_5_word,topic_5_score,topic_6_word,topic_6_score,topic_7_word,topic_7_score,topic_8_word,topic_8_score,topic_9_word,topic_9_score,topic_10_word,topic_10_score,topic_11_word,topic_11_score,topic_12_word,topic_12_score,topic_13_word,topic_13_score,topic_14_word,topic_14_score,topic_15_word,topic_15_score,topic_16_word,topic_16_score,topic_17_word,topic_17_score,topic_18_word,topic_18_score,topic_19_word,topic_19_score,topic_20_word,topic_20_score,topic_21_word,topic_21_score,topic_22_word,topic_22_score,topic_23_word,topic_23_score,topic_24_word,topic_24_score
10,kommen,0.010002194221605426,covid,0.012632343545592358,china,0.010935176946212403,gut,0.011736245565644867,löschen,0.01233873816338727,bei,0.014751092727531875,jahr,0.011355213536370215,windräder,0.014518793665140478,sehen,0.015484622761955755,land,0.015510776510143529,vergewaltigung,0.012303654443965445,bus,0.01566129271710966,holocaust,0.014637622879538079,jahr,0.011601581989597763,einfach,0.011497106633524769,niemehrcdu,0.017119245866001477,eigenanbau,0.025236006645130135,schützen,0.010677263903162823,glaube,0.018279189862287448,aufnehmen,0.019184653072240404,wasser,0.017610708424415696,pille,0.013304017761442776,account,0.02051910086811264,kommen,0.0119725483015014,mitte,0.014711561304716392
11,wählen,0.00996919489213544,werden,0.011634613485878246,russland,0.00946686714630859,steuerzahler,0.011647564612666953,einfach,0.010992231905225957,koalitionsvertrag,0.0139190512244476,arbeitgeber,0.010633240751030143,windkraft,0.014296668114113347,lanz,0.015460023479423558,terror,0.015457835794217695,ehe,0.01129760929953922,mobilität,0.014746793432666178,braun,0.014066132233427554,smartphone,0.011132525745381898,fürchten,0.011242708813511519,skandal,0.016822851422496357,konsument,0.02419369685944358,op,0.010535896181852253,jesus,0.015185489517567815,mensch,0.019091382687130398,brandner,0.016544253618514235,mensch,0.01241815479898238,meinen,0.02003776637804636,welle,0.011798097638957429,rechts,0.013766797316748056
12,einfach,0.009832926233218593,gut,0.011286498111465907,kommen,0.009210437803589084,unternehmen,0.011326025569023195,herr,0.01074611063237474,wirtschaft,0.013337960884751553,mitarbeiter,0.010561199410064802,auto,0.014195235488598875,journalismus,0.013344600501517846,antisemit,0.015004051590821941,weiblich,0.01100426707151981,verkehr,0.01390542350913332,querdenker,0.013338421201944398,infrastruktur,0.011033589258539112,krank,0.011133088309312776,inkompetenz,0.016517960060640602,wieso,0.023980401282645135,impfen,0.010471004688653704,partei,0.01511937834029667,einwanderung,0.01904246923455534,tabak,0.014283417106254529,pharmalobbyist,0.012113496611023164,genau,0.015502254020594082,bringen,0.011453511822063061,links,0.013648194567453585
13,sehen,0.009761506524650274,zahl,0.01095453345548802,jahr,0.009045517932477433,einkommen,0.011102148281291984,social,0.010740197995296042,btw,0.013090156959667098,mensch,0.010377710940778525,energiewende,0.01382803327955837,örr,0.013195610736259997,deutschland,0.014763777637697975,problem,0.010708195238855434,gut,0.011659025323777134,fcknzs,0.012219002837313664,gut,0.010435441211176911,leute,0.010198474415131211,union,0.016011062650466222,entkriminalisierungsofort,0.02335190794874112,müssen,0.01043693054547945,name,0.013892031316842177,zuwanderung,0.015706703834994923,gut,0.013332090949003032,million,0.010695612682678544,comedy,0.015248654220309667,ausgangssperre,0.011182445438506392,neoliberalismus,0.013016917199373786
14,laschet,0.009474674307200398,schwer,0.010645661795613638,herr,0.008858936683151027,dafür,0.011091337632565148,violates,0.010490104862623103,grad,0.012556120836419165,mindestlohn,0.010328057603912089,jahr,0.01360542212765298,frage,0.012789533100195531,islamist,0.014544626336409159,alt,0.010053574653520247,land,0.011063178451357377,faschismus,0.01217142969288254,bei,0.009478455395663585,gut,0.009878782754968323,lüge,0.014000003445965813,legalisieren,0.021923041996234766,halten,0.010190572541221805,mensch,0.013516924006091058,migrationspolitik,0.012875325945831267,saufen,0.01304924109535945,pharmalobby,0.010556685614991191,gut,0.014141175298706324,monat,0.011034306722494419,afd,0.012911635834888585
15,schule,0.009272711276932601,kommen,0.010545917559002038,welt,0.008850916339473805,bekommen,0.011038235045945173,temporarily,0.010490104862623103,klimakatastrophe,0.011720188055822504,arbeiter,0.010136503761034768,ausbau,0.012643815450870139,quelle,0.012293151211308194,terrorist,0.014171842267899382,männlich,0.009751778055904374,lkw,0.010947510869777752,wählen,0.011893404182540711,amp,0.00946070132170667,panikmache,0.009767250452701447,haufen,0.013370727388175577,polizei,0.021692904263265037,bei,0.009890384086602689,cdu,0.012801774375119633,abschieben,0.012288365454352666,rotwein,0.013046074250464909,gut,0.01054878544008688,laschet,0.013904144732956135,fordern,0.010989816439114055,wähler,0.012833916944814663
16,mensch,0.009145949565676045,schützen,0.009950002140637192,btw,0.008809776134320782,steuergeld,0.010952636192115981,unavailabel,0.010490104862623103,jahr,0.01146850877040371,partei,0.00982787450529352,batterie,0.012179163861480274,interview,0.011222954605574244,seite,0.01387457170667096,thema,0.009750454487590382,weniger,0.010649257830156413,afdrausausdenparlament,0.011527410524068438,uploadfilter,0.009177758668641121,karl,0.009560190179527129,vetternwirtschaft,0.013017645431942842,dürfen,0.019984783168077704,werden,0.009805083013491544,bibel,0.012454025903680633,sozialsystem,0.011891478024559721,droge,0.012831903637864473,werden,0.010417104616775698,lächeln,0.013503612454709544,sofort,0.010856495101463142,linker,0.012388265015418478
17,werden,0.00867585767236443,variante,0.009703078275709286,spd,0.007746124576568284,weniger,0.010788839324490304,learn,0.010460251016427233,gut,0.0113697890476937,arbeitsplatz,0.009708587452220358,pv,0.012163422303319293,presse,0.011170067522970393,islamisch,0.013020466332719012,rassist,0.009492469128624573,jahr,0.010394509316910418,nationalsozialismus,0.011455797290393026,parteitag,0.009144879279754478,lassen,0.00945009046125248,wählen,0.012402850946998192,rt,0.01958239389105684,warum,0.009460637221586292,glauben,0.01089168651432266,hilfe,0.011278316826181294,alkoholiker,0.012733214912924317,mord,0.010022883140233174,wirklich,0.012847653266675838,land,0.010387203260495019,kubicki,0.01180633419537766
18,warum,0.00848641418377544,infektion,0.009494574112425318,mensch,0.007723186730323052,müssen,0.010497877033982903,policy,0.01028081374539749,wichtig,0.011343493972805324,kommen,0.008983191722525432,neu,0.01153607525085595,artikel,0.011080207169596496,palästina,0.012850388107750214,einfach,0.00931782858326023,kommen,0.00959285604358696,afdrausausdenparlamenten,0.01121505175218418,fax,0.00903628884560862,kommen,0.009332104899009942,jahr,0.011229884435805889,legal,0.018883304872590736,dürfen,0.00884757881150998,katholik,0.010489987337744564,asylbewerber,0.010924025369991477,essen,0.011630939133689178,ivermectin,0.00953322609737851,komiker,0.011218899571704865,gut,0.010260379480431193,wählen,0.01178106355099318
19,bitte,0.008387569344062129,monat,0.009475388405705176,ach,0.007680388796458715,jahr,0.010348889343441173,hashtag,0.010130736821296796,ziel,0.010764996044643415,müssen,0.008691110976354445,kernenergie,0.010504297885522719,gut,0.010998590423535204,jüdisch,0.012066766341726688,innen,0.008600020294307894,fahrzeug,0.009557985960131174,deutschland,0.01101716033004365,plattform,0.008462219577210368,sehen,0.00861526395536812,amthor,0.011061365426012213,jugendschutz,0.018590184900562884,ehemann,0.008626355679879797,christdemokrat,0.010488150497377753,problem,0.01086793805306194,brandy,0.011114840717473823,verdienen,0.009533099905983377,einfach,0.010622373311574788,mensch,0.010192945060981158,position,0.010966969901174978
